id_mutation,lot_numero,surface_carrez
2024-1191245,1075,61.0
2024-1191245,1075,61.0
2024-1191246,18,44.39
2024-1191246,18,44.39
2024-1191247,105,51.25
2024-1191247,105,51.25
2024-1191249,419,57.51
2024-1191251,77,19.55
2024-1191252,16,55.75
2024-1191253,9,57.45
2024-1191254,149,108.57
2024-1191255,303,34.39
2024-1191255,303,34.39
2024-1191256,18,31.58
2024-1191256,18,31.58
2024-1191257,15,37.63
2024-1191257,15,37.63
2024-1191258,30,27.25
2024-1191262,28,33.3
2024-1191267,49,19.12
2024-1191267,49,19.12
2024-1191274,116,49.11
2024-1191274,116,49.11
2024-1191275,27,152.88
2024-1191275,4,152.88
2024-1191278,12,34.19
2024-1191278,12,34.19
2024-1191281,8,69.31
2024-1191282,40,109.13
2024-1191284,11,13.24
2024-1191286,50,33.0
2024-1191288,20,13.36
2024-1191288,20,13.36
2024-1191289,34,21.26
2024-1191289,34,21.26
2024-1191290,120,60.12
2024-1191290,120,60.12
2024-1191291,694,89.3
2024-1191292,11,20.0
2024-1191292,11,20.0
2024-1191293,57,39.93
2024-1191295,20,64.98
2024-1191295,20,64.98
2024-1191296,135,37.12
2024-1191298,24,84.62
2024-1191299,1,64.84
2024-1191305,16,45.06
2024-1191305,16,45.06
2024-1191306,29,34.15
2024-1191307,30,28.02
2024-1191310,102,36.37
2024-1191310,102,36.37
2024-1191311,253,60.3
2024-1191311,253,60.3
2024-1191312,216,34.6
2024-1191312,216,34.6
2024-1191314,73,79.38
2024-1191314,73,79.38
2024-1191316,27,70.58
2024-1191316,27,70.58
2024-1191318,13,22.93
2024-1191320,11,45.5
2024-1191320,11,45.5
2024-1191322,2,33.35
2024-1191324,116,56.76
2024-1191325,5,84.45
2024-1191326,25,31.76
2024-1191327,22,36.91
2024-1191328,65,22.89
2024-1191329,30,157.61
2024-1191329,30,157.61
2024-1191329,30,157.61
2024-1191331,5,19.77
2024-1191332,42,26.04
2024-1191333,2,53.42
2024-1191334,14,100.19
2024-1191334,14,100.19
2024-1191337,19,79.04
2024-1191337,19,79.04
2024-1191341,150,66.14
2024-1191342,3,17.7
2024-1191345,10,66.97
2024-1191347,18,27.7
2024-1191347,18,27.7
2024-1191354,13,66.66
2024-1191354,13,66.66
2024-1191356,31,28.7
2024-1191359,1,47.46
2024-1191359,115,45.0
2024-1191359,1,45.41
2024-1191362,8,38.89
2024-1191365,12,28.15
2024-1191366,35,53.74
2024-1191367,26,30.8
2024-1191367,26,30.8
2024-1191368,24,22.68
2024-1191369,750,35.74
2024-1191371,327,40.14
2024-1191373,1,54.1
2024-1191373,1,54.1
2024-1191375,21,8.98
2024-1191376,129,12.66
2024-1191376,129,12.66
2024-1191376,129,12.66
2024-1191378,57,18.75
2024-1191379,24,41.01
2024-1191379,24,41.01
2024-1191381,14,21.32
2024-1191400,814,31.1
2024-1191403,4,23.2
2024-1191405,2,101.05
2024-1191405,2,101.05
2024-1191406,27,31.9
2024-1191409,27,62.15
2024-1191412,1313,9.0
2024-1191413,7,45.98
2024-1191413,7,45.98
2024-1191416,16,84.19
2024-1191416,16,84.19
2024-1191416,16,84.19
2024-1191418,47,8.52
2024-1191419,80,17.0
2024-1191420,10,53.2
2024-1191421,2,77.25
2024-1191421,2,77.25
2024-1191422,20,16.66
2024-1191423,46,17.38
2024-1191425,21,29.28
2024-1191428,43,35.57
2024-1191428,43,35.57
2024-1191431,31,40.51
2024-1191432,62,56.76
2024-1191433,103,34.33
2024-1191433,103,34.33
2024-1191434,3,9.05
2024-1191439,23,51.01
2024-1191439,23,51.01
2024-1191443,25,11.77
2024-1191444,16,9.65
2024-1191446,24,9.62
2024-1191446,26,12.41
2024-1191447,12,39.43
2024-1191448,13,51.98
2024-1191452,33,67.55
2024-1191452,33,67.55
2024-1191453,36,30.9
2024-1191453,36,30.9
2024-1191455,4,11.02
2024-1191456,30,33.37
2024-1191460,1009,47.37
2024-1191460,1009,47.37
2024-1191463,11,31.82
2024-1191467,13,34.1
2024-1191468,313,52.43
2024-1191468,313,52.43
2024-1191471,26,14.44
2024-1191471,26,14.44
2024-1191472,12,30.51
2024-1191472,12,30.51
2024-1191473,337,26.0
2024-1191473,337,26.0
2024-1191474,8,4.83
2024-1191476,111,52.41
2024-1191476,111,52.41
2024-1191480,38,14.01
2024-1191481,135,8.8
2024-1191482,32,57.63
2024-1191482,32,57.63
2024-1191483,201,28.94
2024-1191483,201,28.94
2024-1191483,201,28.94
2024-1191484,19,61.36
2024-1191485,13,24.55
2024-1191489,26,12.0
2024-1191492,51,14.55
2024-1191497,3,25.38
2024-1191499,19,16.44
2024-1191510,14,82.17
2024-1191510,14,82.17
2024-1191513,1,23.53
2024-1191523,46,13.7
2024-1191524,41,109.27
2024-1191524,41,109.27
2024-1191525,10,13.79
2024-1191527,15,38.76
2024-1191527,15,38.76
2024-1191530,7,53.4
2024-1191531,6,174.52
2024-1191531,6,174.52
2024-1191531,6,174.52
2024-1191532,8,54.55
2024-1191532,8,54.55
2024-1191533,10,58.06
2024-1191533,10,58.06
2024-1191534,11,64.02
2024-1191534,11,64.02
2024-1191535,29,27.64
2024-1191536,52,29.06
2024-1191536,52,29.06
2024-1191539,54,9.0
2024-1191540,16,9.6
2024-1191541,8,104.71
2024-1191543,100,214.57
2024-1191543,100,214.57
2024-1191543,100,214.57
2024-1191544,14,14.22
2024-1191545,15,154.12
2024-1191545,15,154.12
2024-1191545,19,8.76
2024-1191547,29,5.35
2024-1191548,32,30.77
2024-1191548,32,30.77
2024-1191549,40,33.44
2024-1191550,25,11.08
2024-1191552,6,129.04
2024-1191553,3,26.93
2024-1191554,23,14.01
2024-1191555,4,36.8
2024-1191555,4,36.8
2024-1191558,41,45.5
2024-1191560,28,10.36
2024-1191575,20,160.23
2024-1191575,20,160.23
2024-1191576,10,46.64
2024-1191579,114,25.57
2024-1191579,114,25.57
2024-1191581,44,47.01
2024-1191581,44,47.01
2024-1191583,28,27.18
2024-1191583,28,27.18
2024-1191585,242,26.2
2024-1191585,242,26.2
2024-1191590,5,21.48
2024-1191594,1,15.18
2024-1191595,27,62.1
2024-1191595,27,62.1
2024-1191598,77,21.8
2024-1191602,115,36.56
2024-1191604,17,9.62
2024-1191604,17,9.62
2024-1191609,119,13.9
2024-1191613,10,27.86
2024-1191613,10,27.86
2024-1191614,4,36.44
2024-1191617,44,41.89
2024-1191617,44,41.89
2024-1191621,11,24.04
2024-1191621,11,24.04
2024-1191626,38,21.06
2024-1191629,9,91.73
2024-1191632,107,59.79
2024-1191632,107,59.79
2024-1191635,42,39.68
2024-1191635,42,39.68
2024-1191638,33,28.34
2024-1191643,37,26.61
2024-1191643,37,26.61
2024-1191644,6,35.15
2024-1191644,6,35.15
2024-1191645,8,39.67
2024-1191645,8,39.67
2024-1191647,13,12.24
2024-1191648,228,7.0
2024-1191649,176,22.69
2024-1191651,48,61.7
2024-1191651,48,61.7
2024-1191656,591,27.51
2024-1191656,591,27.51
2024-1191656,591,27.51
2024-1191657,5177,44.01
2024-1191664,206,29.03
2024-1191667,20,53.38
2024-1191667,20,53.38
2024-1191668,25,45.56
2024-1191668,25,45.56
2024-1191674,25,32.53
2024-1191674,25,32.53
2024-1191675,296,9.0
2024-1191679,40,46.52
2024-1191680,5,41.45
2024-1191680,5,41.45
2024-1191683,78,19.32
2024-1191684,41,42.3
2024-1191684,41,42.3
2024-1191686,134,62.66
2024-1191687,1143,19.05
2024-1191688,117,37.6
2024-1191690,2,29.43
2024-1191693,16,43.56
2024-1191693,16,43.56
2024-1191695,1,26.02
2024-1191701,2,54.52
2024-1191702,3,25.3
2024-1191703,13,42.59
2024-1191703,13,42.59
2024-1191704,34,23.06
2024-1191705,4,49.93
2024-1191707,4,28.2
2024-1191708,66,19.19
2024-1191711,3,35.77
2024-1191712,75,42.32
2024-1191717,33,30.2
2024-1191720,27,105.51
2024-1191720,27,105.51
2024-1191721,21,19.15
2024-1191723,77,43.51
2024-1191725,19,36.3
2024-1191725,19,36.3
2024-1191728,26,37.0
2024-1191728,26,37.0
2024-1191729,8,74.37
2024-1191730,37,20.59
2024-1191736,118,18.31
2024-1191737,4,137.9
2024-1191737,4,137.9
2024-1191740,1,67.65
2024-1191743,13,11.62
2024-1191745,11,27.64
2024-1191746,10,41.6
2024-1191746,10,41.6
2024-1191748,12,35.5
2024-1191748,12,35.5
2024-1191750,18,55.97
2024-1191754,4,35.63
2024-1191758,9,57.71
2024-1191759,21,45.5
2024-1191759,21,45.5
2024-1191760,107,96.81
2024-1191760,107,96.81
2024-1191762,18,162.05
2024-1191762,18,162.05
2024-1191763,8,168.25
2024-1191765,15,11.59
2024-1191765,39,11.56
2024-1191766,6,16.15
2024-1191766,8,15.87
2024-1191766,25,14.91
2024-1191767,22,11.31
2024-1191767,23,20.65
2024-1191767,17,20.47
2024-1191767,19,13.31
2024-1191767,18,16.17
2024-1191769,41,14.05
2024-1191785,16,44.2
2024-1191786,84,19.12
2024-1191788,20,9.2
2024-1191794,59,7.25
2024-1191796,13,58.15
2024-1191796,13,58.15
2024-1191800,59,9.47
2024-1191801,25,33.11
2024-1191802,56,31.47
2024-1191803,22,40.38
2024-1191803,22,40.38
2024-1191812,125,82.61
2024-1191815,15,87.02
2024-1191815,15,87.02
2024-1191821,28,14.7
2024-1191821,28,14.7
2024-1191823,5,44.04
2024-1191823,5,44.04
2024-1191837,2,46.09
2024-1191838,377,73.0
2024-1191838,377,73.0
2024-1191838,377,73.0
2024-1191842,11,50.53
2024-1191842,11,50.53
2024-1191844,8,10.91
2024-1191845,60,28.3
2024-1191846,62,67.58
2024-1191846,62,67.58
2024-1191848,11,71.59
2024-1191848,11,71.59
2024-1191862,18,25.48
2024-1191864,14,33.66
2024-1191864,14,33.66
2024-1191865,9,24.0
2024-1191866,361,20.19
2024-1191868,5,45.73
2024-1191870,88,48.12
2024-1191870,88,48.12
2024-1191872,56,35.43
2024-1191872,56,35.43
2024-1191876,22,52.76
2024-1191877,9,75.83
2024-1191877,9,75.83
2024-1191882,14,11.88
2024-1191882,14,11.88
2024-1191888,28,33.35
2024-1191889,11,46.03
2024-1191889,11,46.03
2024-1191892,3,15.97
2024-1191898,35,35.68
2024-1191898,35,35.68
2024-1191900,2,106.04
2024-1191902,9,32.6
2024-1191906,12,21.45
2024-1191906,12,21.45
2024-1191909,150,128.23
2024-1191912,213,12.27
2024-1191912,105,126.43
2024-1191912,106,122.85
2024-1191912,106,122.85
2024-1191912,105,126.43
2024-1191915,12,17.21
2024-1191917,27,27.33
2024-1191919,216,60.16
2024-1191921,1,27.6
2024-1191928,27,70.3
2024-1191928,27,70.3
2024-1191930,702,76.11
2024-1191930,702,76.11
2024-1191935,30,28.6
2024-1191938,102,5.73
2024-1191939,51,25.5
2024-1191940,19,7.15
2024-1191941,51,180.42
2024-1191942,11,39.36
2024-1191942,11,39.36
2024-1191945,71,31.09
2024-1191946,16,23.46
2024-1191948,11,41.24
2024-1191948,11,41.24
2024-1191949,143,48.01
2024-1191949,143,48.01
2024-1191949,143,48.01
2024-1191951,134,12.3
2024-1191952,63,118.9
2024-1191956,7,58.04
2024-1191956,7,58.04
2024-1191960,78,107.37
2024-1191963,111,20.09
2024-1191963,111,20.09
2024-1191965,20,63.03
2024-1191965,20,63.03
2024-1191966,8,81.46
2024-1191966,8,81.46
2024-1191974,53,61.57
2024-1191974,84,2.87
2024-1191975,24,51.15
2024-1191975,24,51.15
2024-1191982,316,16.04
2024-1191983,72,37.03
2024-1191984,33,19.52
2024-1191985,49,5.21
2024-1191986,19,53.62
2024-1191986,19,53.62
2024-1191987,8,28.68
2024-1191989,80,10.0
2024-1191996,139,22.69
2024-1191996,139,22.69
2024-1192010,20,7.5
2024-1192010,18,6.15
2024-1192013,195,44.7
2024-1192013,195,44.7
2024-1192017,31,95.7
2024-1192017,31,95.7
2024-1192018,32,36.75
2024-1192018,32,36.75
2024-1192031,24,5.96
2024-1192032,107,33.97
2024-1192032,107,33.97
2024-1192033,7,67.2
2024-1192039,109,23.83
2024-1192043,36,51.39
2024-1192043,36,51.39
2024-1192044,14,10.2
2024-1192048,10,43.81
2024-1192048,10,43.81
2024-1192050,3,59.6
2024-1192056,23,28.5
2024-1192056,23,28.5
2024-1192058,16,8.3
2024-1192059,21,51.0
2024-1192059,21,51.0
2024-1192059,21,51.0
2024-1192061,314,49.03
2024-1192067,50,35.51
2024-1192068,9,30.88
2024-1192076,29,51.87
2024-1192077,47,18.81
2024-1192079,27,20.15
2024-1192079,27,20.15
2024-1192080,35,53.42
2024-1192080,35,53.42
2024-1192081,14,57.31
2024-1192081,14,57.31
2024-1192081,14,57.31
2024-1192084,3,60.45
2024-1192086,131,9.22
2024-1192088,1605,82.42
2024-1192088,1605,82.42
2024-1192092,25,11.21
2024-1192096,3,39.34
2024-1192098,30,89.01
2024-1192098,30,89.01
2024-1192098,30,89.01
2024-1192102,31,28.7
2024-1192103,49,71.68
2024-1192103,49,71.68
2024-1192107,3,89.84
2024-1192107,3,89.84
2024-1192107,3,89.84
2024-1192112,2,56.95
2024-1192116,95,26.05
2024-1192121,22,12.52
2024-1192125,19,39.2
2024-1192125,19,39.2
2024-1192127,12,17.75
