id_mutation;code_commune;annee;valeur_fonciere;type_local;surface_reelle_bati;nombre_pieces_principales;prix_m2
2020-814889;75108;2020;113500.0;Appartement;12.0;1.0;9458.333333333334
2020-814891;75101;2020;650000.0;Appartement;43.0;2.0;15116.279069767443
2020-814892;75101;2020;461099.0;Appartement;38.0;2.0;12134.184210526315
2020-814894;75101;2020;412000.0;Appartement;32.0;2.0;12875.0
2020-814895;75103;2020;425700.0;Appartement;30.0;2.0;14190.0
2020-814896;75103;2020;905000.0;Appartement;95.0;4.0;9526.315789473685
2020-814899;75103;2020;450000.0;Appartement;15.0;1.0;30000.0
2020-814901;75103;2020;411850.0;Appartement;26.0;1.0;15840.384615384615
2020-814904;75103;2020;205264.0;Appartement;20.0;1.0;10263.2
2020-814907;75103;2020;535000.0;Appartement;40.0;2.0;13375.0
2020-814909;75103;2020;529300.0;Appartement;54.0;3.0;9801.851851851852
2020-814910;75108;2020;370000.0;Appartement;32.0;1.0;11562.5
2020-814912;75108;2020;485000.0;Appartement;37.0;2.0;13108.108108108108
2020-814913;75108;2020;632100.0;Appartement;63.0;2.0;10033.333333333334
2020-814914;75108;2020;360300.0;Appartement;33.0;1.0;10918.181818181818
2020-814915;75108;2020;148590.02;Appartement;18.0;1.0;8255.00111111111
2020-814918;75103;2020;195000.0;Appartement;36.0;2.0;5416.666666666667
2020-814919;75103;2020;418400.0;Appartement;23.0;2.0;18191.304347826088
2020-814920;75103;2020;650000.0;Appartement;50.0;3.0;13000.0
2020-814922;75103;2020;421620.0;Appartement;32.0;2.0;13175.625
2020-814923;75108;2020;357000.0;Appartement;27.0;1.0;13222.222222222223
2020-814924;75103;2020;1850000.0;Appartement;107.0;5.0;17289.719626168226
2020-814926;75108;2020;500000.0;Appartement;28.0;1.0;17857.14285714286
2020-814927;75103;2020;137275.0;Appartement;20.0;1.0;6863.75
2020-814928;75108;2020;888250.0;Appartement;74.0;4.0;12003.378378378378
2020-814929;75108;2020;1050000.0;Appartement;30.0;1.0;35000.0
2020-814931;75103;2020;250000.0;Appartement;15.0;1.0;16666.666666666668
2020-814932;75103;2020;935000.0;Appartement;83.0;4.0;11265.060240963856
2020-814933;75103;2020;1300000.0;Appartement;44.0;3.0;29545.454545454544
2020-814933;75103;2020;1300000.0;Appartement;60.0;3.0;21666.666666666668
2020-814934;75108;2020;165000.0;Appartement;12.0;1.0;13750.0
2020-814935;75103;2020;12474.0;Appartement;46.0;2.0;271.17391304347825
2020-814936;75108;2020;580050.0;Appartement;35.0;1.0;16572.85714285714
2020-814937;75103;2020;517950.0;Appartement;45.0;2.0;11510.0
2020-814938;75103;2020;5000.0;Appartement;29.0;1.0;172.41379310344828
2020-814943;75103;2020;543790.0;Appartement;42.0;2.0;12947.380952380952
2020-814944;75108;2020;2497490.0;Appartement;164.0;6.0;15228.59756097561
2020-814945;75103;2020;330000.0;Appartement;26.0;2.0;12692.307692307691
2020-814947;75103;2020;892000.0;Appartement;71.0;3.0;12563.38028169014
2020-814948;75103;2020;364329.25;Appartement;34.0;2.0;10715.566176470587
2020-814949;75101;2020;510000.0;Appartement;38.0;1.0;13421.052631578947
2020-814950;75108;2020;2540570.0;Appartement;166.0;4.0;15304.638554216868
2020-814951;75101;2020;260000.0;Appartement;25.0;1.0;10400.0
2020-814952;75108;2020;605000.0;Appartement;37.0;1.0;16351.351351351352
2020-814953;75103;2020;430000.0;Appartement;35.0;2.0;12285.714285714286
2020-814954;75108;2020;2234300.0;Appartement;179.0;7.0;12482.122905027933
2020-814955;75108;2020;990000.0;Appartement;76.0;3.0;13026.315789473685
2020-814956;75103;2020;551550.0;Appartement;41.0;3.0;13452.439024390244
2020-814958;75103;2020;424000.0;Appartement;32.0;1.0;13250.0
2020-814959;75101;2020;100.0;Appartement;110.0;2.0;0.9090909090909091
2020-814961;75103;2020;360000.0;Appartement;20.0;1.0;18000.0
2020-814962;75108;2020;230000.0;Appartement;120.0;6.0;1916.6666666666667
