code_commune;revenu_median
92009;33235.0
92012;38210.0
92014;36625.0
92019;29230.0
92020;31320.0
92022;32470.0
92023;30870.0
92024;20390.0
92025;23030.0
92026;33530.0
92032;27370.0
92033;38775.0
92035;35540.0
92036;16050.0
92040;34110.0
92044;39280.0
92046;26340.0
92048;38470.0
92049;31260.0
92050;17410.0
92051;54675.0
92060;30120.0
92062;33005.0
92063;36100.0
92064;42260.0
92071;40295.0
92072;35100.0
92073;35860.0
92075;32160.0
92077;39830.0
92078;15585.0
93001;11760.0
93005;18010.0
93006;15940.0
93007;13690.0
93008;12860.0
93010;14000.0
93013;15900.0
93014;9250.0
93027;11920.0
93029;16910.0
93030;14260.0
93031;13910.0
93032;25390.0
93045;26120.0
93046;21180.0
93047;21180.0
93048;18860.0
93049;28440.0
93050;20245.0
93051;23255.0
93053;15505.0
93055;17055.0
93057;21070.0
93059;13000.0
93061;19970.0
93062;29740.0
93063;17975.0
93064;22500.0
93066;13670.0
93070;16760.0
93071;13450.0
93072;13170.0
93073;22140.0
93077;25935.0
93078;17300.0
93079;13410.0
94002;22330.0
94003;23640.0
94004;19100.0
94011;16290.0
94015;31155.0
94016;28790.0
94017;20760.0
94018;34700.0
94019;24755.0
94021;21230.0
94022;20370.0
94028;18310.0
94033;27400.0
94034;22530.0
94037;20165.0
94038;23695.0
94041;18305.0
94042;29355.0
94043;22920.0
94044;21110.0
94046;28690.0
94052;37030.0
94054;15420.0
94055;28920.0
94058;31930.0
94059;28270.0
94060;22420.0
94067;39020.0
94068;33175.0
94069;29345.0
94071;30460.0
94073;24235.0
94074;14140.0
94076;20450.0
94077;21245.0
94078;14270.0
94079;24540.0
94080;37730.0
94081;17695.0
95018;17295.0
95019;18915.0
95063;19540.0
95127;17910.0
95176;28715.0
95197;25620.0
95199;25640.0
95203;29195.0
95210;32630.0
95218;23650.0
95219;24215.0
95252;23575.0
95268;11200.0
95277;15500.0
95280;16840.0
95306;27355.0
95313;30410.0
95323;23530.0
95424;19880.0
95427;19015.0
95428;30460.0
95476;25960.0
95487;18880.0
95500;20430.0
95539;24035.0
95555;23430.0
95563;29020.0
95572;19520.0
95582;23320.0
95585;12480.0
95598;27480.0
95607;24300.0
95637;25435.0
95680;12595.0
97207;21030.0
97209;15910.0
97210;14810.0
97212;14045.0
97213;17995.0
97220;14160.0
97221;15945.0
97222;14830.0
97224;17625.0
97228;11190.0
97229;23490.0
97230;16670.0
97401;17990.0
97402;12990.0
97404;14900.0
97405;13270.0
97407;8990.0
97408;20140.0
97409;9650.0
97410;8910.0
97411;14395.0
97412;10760.0
97413;12665.0
97414;10790.0
97415;14950.0
97416;12620.0
97418;16840.0
97420;14580.0
97422;12590.0
